Episode,Train Rewards,Test Rewards
280,-10.7,-11.6
281,-10.6,-11.3
282,19.2,-11.3
283,-10.6,-12.4
284,-11.0,-12.4
285,-10.6,-12.4
286,-11.3,-12.1
287,-10.8,-11.3
288,-10.8,-11.3
289,-11.8,-10.8
290,-10.8,-10.8
291,-10.6,-10.8
292,-11.7,-10.8
293,-11.8,-12.2
294,-11.2,-11.2
295,-10.6,-11.9
296,-10.9,-11.2
297,-12.3,-12.5
298,-11.8,-12.5
299,-10.7,-11.9
300,-10.9,-11.9
301,-11.1,-10.9
302,-11.6,-10.9
303,-10.9,-11.9
304,-10.8,-10.9
305,-10.7,-12.5
306,9.0,-11.0
307,-11.3,-11.0
308,-11.1,-11.0
309,-10.9,-11.0
310,-10.6,-11.0
311,-11.5,-11.0
312,-10.8,-11.0
313,-10.7,-11.0
314,-10.8,-11.0
315,-11.6,-11.0
316,18.6,-11.0
317,-11.5,-11.0
318,-10.8,-11.0
319,-10.7,-11.0
320,-10.7,-11.0
321,-11.1,-11.0
322,-12.0,-11.0
323,-11.2,-11.0
324,-11.3,-11.0
325,-11.5,-10.9
326,-11.1,-10.9
327,-11.7,-10.9
328,-11.6,-10.9
329,-10.8,-10.9
330,-11.3,-10.9
331,-11.3,-10.9
332,-11.4,-10.9
333,-10.9,-10.9
334,-10.9,-10.9
335,-10.7,-11.0
336,-10.7,-10.9
337,-12.4,-11.0
338,-10.9,-11.0
339,-11.0,-11.0
340,-12.0,-10.9
341,-10.8,-11.0
342,-11.1,-10.9
343,-11.0,-11.0
344,-11.2,-11.0
345,-11.4,-11.0
346,-11.5,-11.0
347,-10.8,-11.0
348,-10.9,-11.0
349,-11.1,-11.0
350,-11.1,-11.0
351,-10.9,-11.0
352,-12.4,-11.0
353,19.4,19.0
354,-10.9,-10.9
355,-10.9,19.1
356,-10.8,19.0
357,-11.2,19.0
358,18.5,19.0
359,-11.6,19.1
360,18.3,19.1
361,-10.8,-10.9
362,-10.9,-10.9
363,19.3,19.1
364,18.7,19.1
365,19.1,19.1
366,-11.3,19.1
367,-10.6,19.1
368,18.8,19.1
369,-10.6,19.1
370,19.1,19.1
371,-10.9,19.1
372,19.1,19.1
373,-10.8,19.1
374,-11.4,19.1
375,-11.6,19.1
376,19.1,19.1
377,19.1,19.1
378,-10.7,19.1
379,18.8,19.1
380,18.7,19.1
381,19.2,19.1
382,-10.8,19.1
383,17.9,19.1
384,-10.9,19.1
385,-10.7,19.1
386,-11.1,18.6
387,18.7,18.6
388,9.2,18.6
389,18.7,19.1
390,19.1,19.1
391,19.1,19.1
392,18.6,18.6
393,18.0,18.6
394,-11.6,18.6
395,18.6,18.6
396,-10.6,18.6
397,18.6,18.6
398,-10.9,18.6
399,-11.3,18.6
400,18.8,18.6
401,18.9,18.6
402,18.6,18.6
403,18.8,18.6
404,-11.4,18.6
405,18.7,18.6
406,-11.1,18.6
407,19.4,18.6
408,18.9,18.6
409,-1.9,18.3
410,18.2,18.3
411,18.8,18.3
412,18.3,18.3
413,18.4,18.5
414,-11.9,18.5
415,18.5,18.5
416,18.7,18.5
417,18.2,18.5
418,-10.6,18.5
419,18.2,18.5
420,18.0,18.5
421,18.6,18.5
422,18.5,18.5
423,-11.5,18.5
424,18.5,18.5
425,18.5,18.5
426,18.3,18.5
427,-11.7,18.5
428,-11.4,18.5
429,-11.4,18.5
430,-11.2,18.8
431,18.3,18.6
432,-11.0,18.6
433,18.6,18.8
434,19.4,18.6
435,18.6,18.6
436,18.8,18.8
437,18.5,18.6
438,-11.3,18.6
439,-11.1,18.6
440,-10.5,18.6
441,18.8,18.6
442,18.8,18.6
443,18.6,18.6
444,8.9,18.6
445,8.9,18.6
446,18.3,18.6
447,18.8,18.6
448,18.6,18.6
449,19.2,18.6
450,-11.0,18.8
451,18.6,18.6
452,18.5,18.8
453,19.1,19.1
454,19.4,19.4
455,18.5,19.4
456,19.4,19.4
457,19.4,19.4
458,-10.5,19.4
459,-1.7,19.4
460,-10.5,19.4
461,19.4,19.4
462,-0.8,19.4
463,-10.9,19.4
464,19.4,19.4
465,-10.6,19.4
466,-10.6,19.4
467,-10.5,19.4
468,18.5,19.4
469,19.4,19.4
470,19.4,19.4
471,19.4,19.4
472,19.4,19.4
473,19.4,19.4
474,19.4,19.4
475,-10.5,19.4
476,19.4,19.4
477,19.4,19.4
478,19.4,19.4
479,19.4,19.4
480,19.4,19.4
481,19.4,19.4
482,-10.6,19.4
483,19.4,19.4
484,-10.6,19.4
485,18.8,19.4
486,19.1,19.4
487,-10.6,19.4
488,19.4,19.4
489,19.4,19.4
490,19.4,19.4
491,19.4,19.4
492,19.4,19.4
493,19.4,19.4
494,-10.6,19.4
495,-10.6,19.4
496,19.4,19.4
497,19.4,19.4
498,18.5,19.4
499,19.4,19.4
500,19.1,19.4
501,19.4,19.4
502,19.1,19.4
503,19.4,19.4
504,19.0,19.4
505,19.3,19.4
506,19.4,19.4
507,-10.6,19.4
508,19.4,19.4
509,19.4,19.4
510,19.4,19.4
511,19.4,19.4
